Year;recruitment;high_recruitment;low_recruitment;low_SSB;SSB;high_SSB;catches;landings;discards;low_F;F;high_F;StockPublishNote;Purpose;Fage;fishstock;recruitment_age;AssessmentYear;units;stockSizeDescription;stockSizeUnits;fishingPressureDescription;fishingPressureUnits;SP
1973;;;;;;;12189;;;;;;Stock published;Advice;;anf.27.3a46;;2019;tonnes;Biomass index;tonnes;Relative Harvest Rate;ratio;12189
1974;;;;;;;7801;;;;;;Stock published;Advice;;anf.27.3a46;;2019;tonnes;Biomass index;tonnes;Relative Harvest Rate;ratio;7801
1975;;;;;;;8299;;;;;;Stock published;Advice;;anf.27.3a46;;2019;tonnes;Biomass index;tonnes;Relative Harvest Rate;ratio;8299
1976;;;;;;;9021;;;;;;Stock published;Advice;;anf.27.3a46;;2019;tonnes;Biomass index;tonnes;Relative Harvest Rate;ratio;9021
1977;;;;;;;8774;;;;;;Stock published;Advice;;anf.27.3a46;;2019;tonnes;Biomass index;tonnes;Relative Harvest Rate;ratio;8774
1978;;;;;;;8172;;;;;;Stock published;Advice;;anf.27.3a46;;2019;tonnes;Biomass index;tonnes;Relative Harvest Rate;ratio;8172
1979;;;;;;;8123;;;;;;Stock published;Advice;;anf.27.3a46;;2019;tonnes;Biomass index;tonnes;Relative Harvest Rate;ratio;8123
1980;;;;;;;8485;;;;;;Stock published;Advice;;anf.27.3a46;;2019;tonnes;Biomass index;tonnes;Relative Harvest Rate;ratio;8485
1981;;;;;;;5623;;;;;;Stock published;Advice;;anf.27.3a46;;2019;tonnes;Biomass index;tonnes;Relative Harvest Rate;ratio;5623
1982;;;;;;;7104;;;;;;Stock published;Advice;;anf.27.3a46;;2019;tonnes;Biomass index;tonnes;Relative Harvest Rate;ratio;7104
1983;;;;;;;8542;;;;;;Stock published;Advice;;anf.27.3a46;;2019;tonnes;Biomass index;tonnes;Relative Harvest Rate;ratio;8542
1984;;;;;;;11075;;;;;;Stock published;Advice;;anf.27.3a46;;2019;tonnes;Biomass index;tonnes;Relative Harvest Rate;ratio;11075
1985;;;;;;;12078;;;;;;Stock published;Advice;;anf.27.3a46;;2019;tonnes;Biomass index;tonnes;Relative Harvest Rate;ratio;12078
1986;;;;;;;12343;;;;;;Stock published;Advice;;anf.27.3a46;;2019;tonnes;Biomass index;tonnes;Relative Harvest Rate;ratio;12343
1987;;;;;;;15377;;;;;;Stock published;Advice;;anf.27.3a46;;2019;tonnes;Biomass index;tonnes;Relative Harvest Rate;ratio;15377
1988;;;;;;;17973;;;;;;Stock published;Advice;;anf.27.3a46;;2019;tonnes;Biomass index;tonnes;Relative Harvest Rate;ratio;17973
1989;;;;;;;16451;;;;;;Stock published;Advice;;anf.27.3a46;;2019;tonnes;Biomass index;tonnes;Relative Harvest Rate;ratio;16451
1990;;;;;;;17605;;;;;;Stock published;Advice;;anf.27.3a46;;2019;tonnes;Biomass index;tonnes;Relative Harvest Rate;ratio;17605
1991;;;;;;;18369;17441;;;;;Stock published;Advice;;anf.27.3a46;;2019;tonnes;Biomass index;tonnes;Relative Harvest Rate;ratio;18369
1992;;;;;;;20807;21872;;;;;Stock published;Advice;;anf.27.3a46;;2019;tonnes;Biomass index;tonnes;Relative Harvest Rate;ratio;20807
1993;;;;;;;22596;23971;;;;;Stock published;Advice;;anf.27.3a46;;2019;tonnes;Biomass index;tonnes;Relative Harvest Rate;ratio;22596
1994;;;;;;;25155;25057;;;;;Stock published;Advice;;anf.27.3a46;;2019;tonnes;Biomass index;tonnes;Relative Harvest Rate;ratio;25155
1995;;;;;;;29055;28913;;;;;Stock published;Advice;;anf.27.3a46;;2019;tonnes;Biomass index;tonnes;Relative Harvest Rate;ratio;29055
