Año;Bio;Btrend;BvB;BvT;CPUE;Ctrend;CvMEANC;CvMSY;FF;MCatch;R;SSB;Survey;U;Utrend;UvT;UvU
1950;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1951;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1952;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1953;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1954;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1955;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1956;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1957;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1958;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1959;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1960;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1961;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1962;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1963;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1964;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1965;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1966;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1967;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1968;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1969;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1970;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1971;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1972;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1973;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1974;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1975;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1976;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1977;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1978;119000;119000;178.888.888.888.889;178.888.888.888.889;NA;50600;0.819532736769648;NA;0.5;50600;2.98e+08;80500;NA;0.425210084033613;0.425210084033613;178.571.428.571.429;178.571.428.571.429
1979;128000;128000;224.444.444.444.444;224.444.444.444.444;NA;51100;0.827630886342471;NA;0.54;51100;2.75e+08;101000;NA;0.39921875;0.39921875;192.857.142.857.143;192.857.142.857.143
1980;127000;127000;231.111.111.111.111;231.111.111.111.111;NA;57300;0.928047941045471;NA;0.64;57300;3.04e+08;104000;NA;0.451181102362205;0.451181102362205;228.571.428.571.429;228.571.428.571.429
1981;109000;109000;198.444.444.444.444;198.444.444.444.444;NA;53900;0.872980523950277;NA;0.64;53900;5.8e+08;89300;NA;0.494495412844037;0.494495412844037;228.571.428.571.429;228.571.428.571.429
1982;101000;101000;161.555.555.555.556;161.555.555.555.556;NA;55000;0.890796453010487;NA;0.67;55000;3.93e+08;72700;NA;0.544554455445545;0.544554455445545;239.285.714.285.714;239.285.714.285.714
1983;107000;107000;156.444.444.444.444;156.444.444.444.444;NA;57500;0.9312872008746;NA;0.62;57500;1.4e+08;70400;NA;0.537383177570093;0.537383177570093;221.428.571.428.571;221.428.571.428.571
1984;112000;112000;184.444.444.444.444;184.444.444.444.444;NA;63300;102.522.573.591.934;NA;0.66;63300;2.79e+08;83000;NA;0.565178571428571;0.565178571428571;235.714.285.714.286;235.714.285.714.286
1985;97400;97400;175.333.333.333.333;175.333.333.333.333;NA;56100;0.908612382070697;NA;0.82;56100;6.2e+08;78900;NA;0.575975359342916;0.575975359342916;292.857.142.857.143;292.857.142.857.143
