Year;recruitment;high_recruitment;low_recruitment;low_SSB;SSB;high_SSB;catches;landings;discards;low_F;F;high_F;StockPublishNote;Purpose;Fage;fishstock;recruitment_age;AssessmentYear;units;stockSizeDescription;stockSizeUnits;fishingPressureDescription;fishingPressureUnits;SP
1978;316562;377770;265271;59076;71702;84329;50551;50551;;0.498;0.54;0.582;Stock published;Advice;;hke.27.3a46-8abd;0;2019;tonnes;SSB;tonnes;F;Year-1;70744
1979;291398;352814;240673;81551;91895;102240;51096;51096;;0.528;0.58;0.624;Stock published;Advice;;hke.27.3a46-8abd;0;2019;tonnes;SSB;tonnes;F;Year-1;53442
1980;321687;383486;269847;84437;94241;104046;57265;57265;;0.625;0.68;0.741;Stock published;Advice;;hke.27.3a46-8abd;0;2019;tonnes;SSB;tonnes;F;Year-1;43191
1981;608284;690769;535649;71066;80167;89268;53918;53918;;0.613;0.69;0.768;Stock published;Advice;;hke.27.3a46-8abd;0;2019;tonnes;SSB;tonnes;F;Year-1;38157
1982;418243;487572;358772;55935;64406;72878;54994;54994;;0.678;0.72;0.769;Stock published;Advice;;hke.27.3a46-8abd;0;2019;tonnes;SSB;tonnes;F;Year-1;53486
1983;147050;185041;116861;55198;62898;70599;57507;57507;;0.64;0.67;0.697;Stock published;Advice;;hke.27.3a46-8abd;0;2019;tonnes;SSB;tonnes;F;Year-1;70665
1984;293380;341321;252173;68716;76056;83396;63286;63286;;0.653;0.7;0.747;Stock published;Advice;;hke.27.3a46-8abd;0;2019;tonnes;SSB;tonnes;F;Year-1;60187
1985;643145;719072;575235;66541;72957;79373;56099;56099;;0.73;0.85;0.969;Stock published;Advice;;hke.27.3a46-8abd;0;2019;tonnes;SSB;tonnes;F;Year-1;37242
1986;373157;417909;333199;48363;54100;59837;57092;57092;;0.912;0.96;1;Stock published;Advice;;hke.27.3a46-8abd;0;2019;tonnes;SSB;tonnes;F;Year-1;42898
1987;449506;498813;405073;35162;39906;44650;63369;63369;;1.017;1.05;1.084;Stock published;Advice;;hke.27.3a46-8abd;0;2019;tonnes;SSB;tonnes;F;Year-1;66632
1988;511711;563657;464552;39025;43169;47312;64825;64823;2;1.013;1.06;1.105;Stock published;Advice;;hke.27.3a46-8abd;0;2019;tonnes;SSB;tonnes;F;Year-1;64148
1989;495038;541631;452453;38871;42492;46113;66546;66473;73;1.096;1.14;1.189;Stock published;Advice;;hke.27.3a46-8abd;0;2019;tonnes;SSB;tonnes;F;Year-1;63758
1990;503507;548798;461954;36769;39704;42640;59954;59954;;1.023;1.08;1.147;Stock published;Advice;;hke.27.3a46-8abd;0;2019;tonnes;SSB;tonnes;F;Year-1;58926
1991;277635;305905;251979;35882;38676;41469;58129;58129;;1.005;1.03;1.063;Stock published;Advice;;hke.27.3a46-8abd;0;2019;tonnes;SSB;tonnes;F;Year-1;56689
1992;303104;333112;275799;34489;37236;39984;56617;56617;;1.029;1.07;1.103;Stock published;Advice;;hke.27.3a46-8abd;0;2019;tonnes;SSB;tonnes;F;Year-1;56030
1993;532745;565563;501831;34239;36649;39058;52144;52144;;1.048;1.1;1.157;Stock published;Advice;;hke.27.3a46-8abd;0;2019;tonnes;SSB;tonnes;F;Year-1;44318
1994;300750;322712;280281;26756;28823;30890;51615;51259;356;1.104;1.13;1.151;Stock published;Advice;;hke.27.3a46-8abd;0;2019;tonnes;SSB;tonnes;F;Year-1;50854
1995;152607;166245;140088;26175;28062;29948;57621;57621;;1.167;1.19;1.212;Stock published;Advice;;hke.27.3a46-8abd;0;2019;tonnes;SSB;tonnes;F;Year-1;62692
1996;372604;396138;350468;31173;33133;35093;47210;47210;;0.999;1.04;1.072;Stock published;Advice;;hke.27.3a46-8abd;0;2019;tonnes;SSB;tonnes;F;Year-1;42447
1997;262295;284793;241575;26527;28370;30213;42465;42465;;1.093;1.12;1.157;Stock published;Advice;;hke.27.3a46-8abd;0;2019;tonnes;SSB;tonnes;F;Year-1;36773
1998;432554;462950;404154;21154;22678;24202;35060;35060;;0.995;1.04;1.091;Stock published;Advice;;hke.27.3a46-8abd;0;2019;tonnes;SSB;tonnes;F;Year-1;38408
1999;213948;232442;196926;24368;26026;27684;40163;39814;349;1.004;1.03;1.057;Stock published;Advice;;hke.27.3a46-8abd;0;2019;tonnes;SSB;tonnes;F;Year-1;42859
2000;192163;207486;177972;26914;28722;30529;42109;42026;83;0.947;0.97;0.997;Stock published;Advice;;hke.27.3a46-8abd;0;2019;tonnes;SSB;tonnes;F;Year-1;47414
2001;354782;377710;333246;31999;34027;36055;36675;36675;;0.766;0.8;0.841;Stock published;Advice;;hke.27.3a46-8abd;0;2019;tonnes;SSB;tonnes;F;Year-1;37321
2002;281646;300816;263698;32440;34673;36906;40107;40107;;0.831;0.86;0.886;Stock published;Advice;;hke.27.3a46-8abd;0;2019;tonnes;SSB;tonnes;F;Year-1;40443
2003;163911;176642;152098;32708;35009;37310;45272;43162;2110;0.848;0.87;0.887;Stock published;Advice;;hke.27.3a46-8abd;0;2019;tonnes;SSB;tonnes;F;Year-1;50348
2004;343418;363574;324379;37667;40085;42502;48969;46417;2552;0.836;0.87;0.906;Stock published;Advice;;hke.27.3a46-8abd;0;2019;tonnes;SSB;tonnes;F;Year-1;47407
2005;221999;237615;207409;36106;38523;40939;51226;46550;4676;0.993;1.02;1.038;Stock published;Advice;;hke.27.3a46-8abd;0;2019;tonnes;SSB;tonnes;F;Year-1;43525
2006;296671;313949;280344;28675;30822;32969;43283;41467;1816;0.898;0.92;0.944;Stock published;Advice;;hke.27.3a46-8abd;0;2019;tonnes;SSB;tonnes;F;Year-1;48814
2007;453127;479568;428144;33849;36353;38857;47219;45028;2191;0.793;0.82;0.844;Stock published;Advice;;hke.27.3a46-8abd;0;2019;tonnes;SSB;tonnes;F;Year-1;52775
2008;756719;795226;720076;38726;41909;45092;50987;47739;3248;0.659;0.68;0.71;Stock published;Advice;;hke.27.3a46-8abd;0;2019;tonnes;SSB;tonnes;F;Year-1;
1982;98400;;;;41104;;17592;17592;0;;0.36;;Stock published;Advice;1-3;hke.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;22288
1983;81482;;;;45800;;22950;22950;0;;0.442;;Stock published;Advice;1-3;hke.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;20198
1984;69479;;;;43048;;22179;22179;0;;0.45;;Stock published;Advice;1-3;hke.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;22272
1985;44091;;;;43141;;18941;18941;0;;0.419;;Stock published;Advice;1-3;hke.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;15824
1986;40961;;;;40024;;17161;17161;0;;0.445;;Stock published;Advice;1-3;hke.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;13903
1987;50138;;;;36766;;16185;16185;0;;0.509;;Stock published;Advice;1-3;hke.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;6446
1988;71237;;;;27027;;16653;16653;0;;0.653;;Stock published;Advice;1-3;hke.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;9522
1989;78050;;;;19896;;13786;13786;0;;0.65;;Stock published;Advice;1-3;hke.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;10169
1990;82335;;;;16279;;13190;13190;0;;0.695;;Stock published;Advice;1-3;hke.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;13361
1991;69999;;;;16450;;12827;12827;0;;0.69;;Stock published;Advice;1-3;hke.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;11890
1992;52273;;;;15513;;14271;13798;473;;0.84;;Stock published;Advice;1-3;hke.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;11525
1993;61110;;;;12767;;12167;11484;683;;0.908;;Stock published;Advice;1-3;hke.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;8299
1994;119477;;;;8899;;10859;9865;994;;0.894;;Stock published;Advice;1-3;hke.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;9053
1995;51171;;;;7093;;14341;12239;2102;;1.186;;Stock published;Advice;1-3;hke.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;15760
1996;101262;;;;8512;;11625;9715;1910;;1.158;;Stock published;Advice;1-3;hke.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;9590
1997;80723;;;;6477;;10768;8498;2270;;1.18;;Stock published;Advice;1-3;hke.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;9997
