Year;recruitment;high_recruitment;low_recruitment;low_SSB;SSB;high_SSB;catches;landings;discards;low_F;F;high_F;StockPublishNote;Purpose;Fage;fishstock;recruitment_age;AssessmentYear;units;stockSizeDescription;stockSizeUnits;fishingPressureDescription;fishingPressureUnits;SP
2004;;;;;;;;;;;;;Stock published;Advice;;ldb.27.7b-k8abd;;2019;tonnes;SSB;tonnes;F;Year-1;0
2005;;;;;;;;;;;;;Stock published;Advice;;ldb.27.7b-k8abd;;2019;tonnes;SSB;tonnes;F;Year-1;0
2006;;;;;;;;;;;;;Stock published;Advice;;ldb.27.7b-k8abd;;2019;tonnes;SSB;tonnes;F;Year-1;0
2007;;;;;;;;;;;;;Stock published;Advice;;ldb.27.7b-k8abd;;2019;tonnes;SSB;tonnes;F;Year-1;0
2008;;;;;;;;;;;;;Stock published;Advice;;ldb.27.7b-k8abd;;2019;tonnes;SSB;tonnes;F;Year-1;0
2009;;;;;;;;;;;;;Stock published;Advice;;ldb.27.7b-k8abd;;2019;tonnes;SSB;tonnes;F;Year-1;0
2010;;;;;;;;;;;;;Stock published;Advice;;ldb.27.7b-k8abd;;2019;tonnes;SSB;tonnes;F;Year-1;0
2011;;;;;;;;;;;;;Stock published;Advice;;ldb.27.7b-k8abd;;2019;tonnes;SSB;tonnes;F;Year-1;0
2012;;;;;;;;;;;;;Stock published;Advice;;ldb.27.7b-k8abd;;2019;tonnes;SSB;tonnes;F;Year-1;0
2013;;;;;;;;;;;;;Stock published;Advice;;ldb.27.7b-k8abd;;2019;tonnes;SSB;tonnes;F;Year-1;0
2014;;;;;;;;;;;;;Stock published;Advice;;ldb.27.7b-k8abd;;2019;tonnes;SSB;tonnes;F;Year-1;0
2015;;;;;;;;;;;;;Stock published;Advice;;ldb.27.7b-k8abd;;2019;tonnes;SSB;tonnes;F;Year-1;0
2016;;;;;;;;;;;;;Stock published;Advice;;ldb.27.7b-k8abd;;2019;tonnes;SSB;tonnes;F;Year-1;0
2017;;;;;;;1270;594;676;;;;Stock published;Advice;;ldb.27.7b-k8abd;;2019;tonnes;SSB;tonnes;F;Year-1;1270
2018;;;;;;;1278;913;365;;;;Stock published;Advice;;ldb.27.7b-k8abd;;2019;tonnes;SSB;tonnes;F;Year-1;5572
1986;71873;;;;4294;;1408;1124;284;;0.448;;Stock published;Advice;2-4;ldb.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;3141
1987;52282;;;;6027;;2021;1688;333;;0.452;;Stock published;Advice;2-4;ldb.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;2726
1988;57073;;;;6732;;2586;2223;363;;0.481;;Stock published;Advice;2-4;ldb.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;2579
1989;53544;;;;6725;;3037;2629;408;;0.627;;Stock published;Advice;2-4;ldb.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;2269
1990;40326;;;;5957;;2354;1945;409;;0.46;;Stock published;Advice;2-4;ldb.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;2144
1991;63225;;;;5747;;2129;1682;447;;0.393;;Stock published;Advice;2-4;ldb.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;1810
1992;58745;;;;5428;;2353;1916;437;;0.619;;Stock published;Advice;2-4;ldb.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;2230
1993;29491;;;;5305;;1822;1384;438;;0.507;;Stock published;Advice;2-4;ldb.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;2089
1994;47938;;;;5572;;1920;1403;517;;0.483;;Stock published;Advice;2-4;ldb.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;1325
1995;59485;;;;4977;;2058;1652;406;;0.604;;Stock published;Advice;2-4;ldb.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;1474
1996;42875;;;;4393;;1466;1098;368;;0.55;;Stock published;Advice;2-4;ldb.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;945
1997;30298;;;;3872;;1204;896;308;;0.358;;Stock published;Advice;2-4;ldb.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;1878
1998;21439;;;;4546;;1501;1123;378;;0.411;;Stock published;Advice;2-4;ldb.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;1014
1999;36342;;;;4059;;1442;1125;317;;0.424;;Stock published;Advice;2-4;ldb.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;1201
2000;35990;;;;3818;;1414;1041;373;;0.485;;Stock published;Advice;2-4;ldb.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;820
2001;37131;;;;3224;;1221;931;290;;0.538;;Stock published;Advice;2-4;ldb.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;1409
2002;39878;;;;3412;;1028;720;308;;0.421;;Stock published;Advice;2-4;ldb.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;1366
2003;50960;;;;3750;;1067;876;191;;0.324;;Stock published;Advice;2-4;ldb.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;1395
2004;36894;;;;4078;;1354;1006;348;;0.446;;Stock published;Advice;2-4;ldb.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;1361
2005;52721;;;;4085;;1358;983;375;;0.381;;Stock published;Advice;2-4;ldb.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;1956
2006;51640;;;;4683;;1427;1092;335;;0.453;;Stock published;Advice;2-4;ldb.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;1367
2007;38014;;;;4623;;1396;1104;292;;0.363;;Stock published;Advice;2-4;ldb.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;2118
2008;27990;;;;5345;;1182;980;202;;0.274;;Stock published;Advice;2-4;ldb.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;1114
2009;63768;;;;5277;;1413;1134;279;;0.299;;Stock published;Advice;2-4;ldb.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;1903
2010;50025;;;;5767;;1562;1297;265;;0.268;;Stock published;Advice;2-4;ldb.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;1143
2011;47591;;;;5348;;1397;1128;269;;0.263;;Stock published;Advice;2-4;ldb.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;2158
2012;69411;;;;6109;;1321;952;369;;0.23;;Stock published;Advice;2-4;ldb.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;828
2013;49438;;;;5616;;1427;931;496;;0.302;;Stock published;Advice;2-4;ldb.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;2205
2014;75544;;;;6394;;1942;1154;788;;0.36;;Stock published;Advice;2-4;ldb.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;1961
2015;51233;;;;6413;;1745;1148;597;;0.43;;Stock published;Advice;2-4;ldb.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;2048
2016;66747;;;;6716;;1419;1087;332;;0.218;;Stock published;Advice;2-4;ldb.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;1875
2017;18468;;;;7172;;1173;926;246;;0.188;;Stock published;Advice;2-4;ldb.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;1451
2018;45233;;;;7450;;906;814;92;;0.091;;Stock published;Advice;2-4;ldb.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;2310
2019;45233;;;;8854;;;;;;;;Stock published;Advice;2-4;ldb.27.8c9a;0;2019;tonnes;SSB;tonnes;F;Year-1;-8851.771
1985;;;;0.932;2.229;3.718;6427;4499;;0.349;0.711;1.392;Stock published;Advice;;lez.27.4a6a;;2019;tonnes;B/Bmsy;ratio;F/Fmsy;ratio;6426.362
1986;;;;0.87;1.591;2.24;4051;2858;;0.3;0.544;0.921;Stock published;Advice;;lez.27.4a6a;;2019;tonnes;B/Bmsy;ratio;F/Fmsy;ratio;4050.904
1987;;;;0.88;1.495;2.084;6488;4614;;0.532;0.954;1.576;Stock published;Advice;;lez.27.4a6a;;2019;tonnes;B/Bmsy;ratio;F/Fmsy;ratio;6487.912
