Año;Bio;Btrend;BvB;BvT;CPUE;Ctrend;CvMEANC;CvMSY;FF;MCatch;R;SSB;Survey;U;Utrend;UvT;UvU
1950;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1951;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1952;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1953;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1954;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1955;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1956;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1957;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1958;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1959;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1960;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1961;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1962;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1963;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1964;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1965;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1966;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1967;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1968;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1969;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1970;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1971;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1972;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1973;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1974;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1975;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1976;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1977;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1978;528000;528000;116.281.414.465.946;116.281.414.465.946;NA;146000;122.774.192.192.066;NA;0.362;146000;3.63e+10;519000;NA;0.276515151515151;0.276515151515151;301.666.666.666.667;301.666.666.666.667
1979;682000;682000;15.100.900.452.803;15.100.900.452.803;NA;157000;132.024.302.562.701;NA;0.286;157000;4.23e+10;674000;NA;0.230205278592375;0.230205278592375;238.333.333.333.333;238.333.333.333.333
1980;855000;855000;189.769.476.016.678;189.769.476.016.678;NA;195000;163.979.229.297.622;NA;0.282;195000;4.83e+10;847000;NA;0.228070175438596;0.228070175438596;2.35;2.35
1981;1020000;1020000;228.529.947.505.327;228.529.947.505.327;NA;217000;182.479.450.038.892;NA;0.27;217000;2.99e+10;1020000;NA;0.212745098039216;0.212745098039216;2.25;2.25
1982;950000;950000;211.726.274.894.641;211.726.274.894.641;NA;207000;174.070.258.792.861;NA;0.261;207000;1.61e+10;945000;NA;0.217894736842105;0.217894736842105;2.175;2.175
1983;751000;751000;167.588.628.170.573;167.588.628.170.573;NA;184000;154.729.118.926.987;NA;0.257;184000;7.14e+10;748000;NA;0.245006657789614;0.245006657789614;214.166.666.666.667;214.166.666.666.667
1984;1160000;1160000;259.896.803.045.274;259.896.803.045.274;NA;206000;173.229.339.668.257;NA;0.253;206000;2.13e+10;1160000;NA;0.177586206896552;0.177586206896552;210.833.333.333.333;210.833.333.333.333
1985;987000;987000;221.360.380.524.767;221.360.380.524.767;NA;208000;174.911.177.917.464;NA;0.23;208000;1.86e+10;988000;NA;0.210739614994934;0.210739614994934;191.666.666.666.667;191.666.666.666.667
