Año;Bio;Btrend;BvB;BvT;CPUE;Ctrend;CvMEANC;CvMSY;FF;MCatch;R;SSB;Survey;U;Utrend;UvT;UvU
1950;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1951;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1952;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1953;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1954;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1955;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1956;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1957;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1958;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1959;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1960;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1961;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1962;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1963;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1964;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1965;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1966;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1967;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1968;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1969;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1970;NA;NA;NA;NA;NA;4050;0.363325762058369;NA;NA;4050;NA;NA;NA;NA;NA;NA;NA
1971;NA;NA;NA;NA;NA;6060;0.543642992116967;NA;NA;6060;NA;NA;NA;NA;NA;NA;NA
1972;NA;NA;NA;NA;NA;5090;0.45662422935237;NA;NA;5090;NA;NA;NA;NA;NA;NA;NA
1973;NA;NA;NA;NA;NA;6570;0.589395125116909;NA;NA;6570;NA;NA;NA;NA;NA;NA;NA
1974;NA;NA;NA;NA;NA;3950;0.354354755587792;NA;NA;3950;NA;NA;NA;NA;NA;NA;NA
1975;NA;NA;NA;NA;NA;5290;0.474566242293524;NA;NA;5290;NA;NA;NA;NA;NA;NA;NA
1976;NA;NA;NA;NA;NA;3760;0.337309843293696;NA;NA;3760;NA;NA;NA;NA;NA;NA;NA
1977;NA;NA;NA;NA;NA;15100;135.462.197.705.713;NA;NA;15100;NA;NA;NA;NA;NA;NA;NA
1978;NA;NA;NA;NA;NA;6310;0.566070508293409;NA;NA;6310;NA;NA;NA;NA;NA;NA;NA
1979;NA;NA;NA;NA;NA;5800;0.520318375293466;NA;NA;5800;NA;NA;NA;NA;NA;NA;NA
1980;NA;NA;NA;NA;NA;5540;0.496993758469966;NA;NA;5540;NA;NA;NA;NA;NA;NA;NA
1981;NA;NA;NA;NA;NA;6180;0.554408199881659;NA;NA;6180;NA;NA;NA;NA;NA;NA;NA
1982;NA;NA;NA;NA;NA;3290;0.295146112881984;NA;NA;3290;NA;NA;NA;NA;NA;NA;NA
1983;NA;NA;NA;NA;NA;6370;0.571453112175755;NA;NA;6370;NA;NA;NA;NA;NA;NA;NA
1984;NA;NA;NA;NA;NA;2030;0.182111431352713;NA;NA;2030;NA;NA;NA;NA;NA;NA;NA
1985;NA;NA;NA;NA;NA;5220;0.46828653776412;NA;NA;5220;NA;NA;NA;NA;NA;NA;NA
1986;NA;NA;NA;NA;NA;6200;0.556202401175774;NA;NA;6200;NA;NA;NA;NA;NA;NA;NA
1987;NA;NA;NA;NA;NA;2660;0.238628772117348;NA;NA;2660;NA;NA;NA;NA;NA;NA;NA
1988;NA;NA;NA;NA;NA;5820;0.522112576587582;NA;NA;5820;NA;NA;NA;NA;NA;NA;NA
1989;NA;NA;NA;NA;NA;7560;0.678208089175622;NA;NA;7560;NA;NA;NA;NA;NA;NA;NA
1990;NA;NA;NA;NA;NA;9430;0.845965910175412;NA;NA;9430;NA;NA;NA;NA;NA;NA;NA
1991;NA;NA;NA;NA;NA;9390;0.842377507587181;NA;NA;9390;NA;NA;NA;NA;NA;NA;NA
