Year;recruitment;high_recruitment;low_recruitment;low_SSB;SSB;high_SSB;catches;landings;discards;low_F;F;high_F;StockPublishNote;Purpose;Fage;fishstock;recruitment_age;AssessmentYear;units;stockSizeDescription;stockSizeUnits;fishingPressureDescription;fishingPressureUnits;SP
1970;;;;;;;;4054;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
1971;;;;;;;;6062;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
1972;;;;;;;;5094;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
1973;;;;;;;;6572;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
1974;;;;;;;;3954;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
1975;;;;;;;;5288;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
1976;;;;;;;;3760;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
1977;;;;;;;;15128;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
1978;;;;;;;;6308;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
1979;;;;;;;;5802;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
1980;;;;;;;;5536;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
1981;;;;;;;;6184;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
1982;;;;;;;;3288;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
1983;;;;;;;;6365;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
1984;;;;;;;;2028;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
1985;;;;;;;;5220;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
1986;;;;;;;;6202;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
1987;;;;;;;;2662;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
1988;;;;;;;;5820;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
1989;;;;;;;;7557;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
1990;;;;;;;;9432;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
1991;;;;;;;;9385;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
1992;;;;;;;;24158;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
1993;;;;;;;;19556;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
1994;;;;;;;;24192;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
1995;;;;;;;;18191;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
1996;;;;;;;;10311;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
1997;;;;;;;;12174;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
1998;;;;;;;;25102;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
1999;;;;;;;;16119;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
2000;;;;;;;;17485;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
2001;;;;;;;;27087;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
2002;;;;;;;;17973;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
2003;;;;;;;;20454;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
2004;;;;;;;;18595;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
2005;;;;;;;;19337;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
2006;;;;;;;;18375;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
2007;;;;;;;;12643;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
2008;;;;;;;;15179;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
2009;;;;;;;;10115;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
2010;;;;;;;;10160;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
2011;;;;;;;;5633;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
2012;;;;;;;;6314;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
2013;;;;;;;;7784;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
2014;;;;;;;;6311;;;;;Stock published;Advice;;pil.27.7;;2019;tonnes;Biomass index;tonnes;F;Year-1;0
